Address Title,Address Code,Address Line 1,City,Postal Code,Destination Address
SH92,"Aslali Warehouse, Located at Old Survey","Aslali Warehouse, Located at Old Survey No./Block No. 1389 and New Survey No/ Block No. 1461 of village Aslali, Taluka Daskroi District Ahmedabad",AHMEDABAD,382427,TRUE
AURANGABAD,AURANGABAD,"Central Warehousing Corporation, Plot No 91,Backside of United Spirits, Chikalthana MIDC Aurangabad ",AURANGABAD,431006,TRUE
221076934,Avana Overseas,"19/177, Peer Kalyani, Moti lal Nehru Road, Agra  ",AGRA,282003,TRUE
60400485,"B.B. INTERNATIONAL, KUTAIL",112 MILESTONE N.H. 1 G.T. ROAD VILL. KUTALI KARNAL HARYANA,KARNAL,,TRUE
SLE9,BADLI,Building No B 1100 Indospace Industrial park pvt ltd Badli vlg pahasour Faizabad,BADLI,124105,TRUE
30403131,BAHADURGARH,"SUPER KICKS, PLOT NO. 168, SECTOR 16, HSIIDC, BAHADURGARH , JAHAJJR, HARYANA ",BAHADURGARH,124507,TRUE
T2RB,Bareilly METRO CASH & CARRY INDIA PVT LTD (Relianc,"Faridpur- Bukhara Road, Near ITBP Camp Bareilly-",BAREILY,243001,TRUE
BB-AGORA,BB AGORA MALL AHMEDABAD,RING ROAD AHMEDABAD,AHMEDABAD,382424,TRUE
BB-ALPHA,BB ALPHA ONE AHMEDABAD,THALTEJ ROAD,AHMEDABAD,380059,TRUE
BB-INORBIT,BB-INORBIT VADODARA,GORWA ROAD,VADODARA,390023,TRUE
BB-EVAMALL,BB-MANJALPUR EVA MALL,VAJRADHAM MARG,VADODARA,390011,TRUE
BB-7 SEAS,BB-SEVEN SEAS MALL,SWARNIM GIJARAT RING ROAD,VADODARA,390002,TRUE
BB-TUMKUR,BB-TUMKUR,"(10252083)FUTURE CONSUMER LIMITED India Food Park Limited, Plot No-10-11, Vasanthanarshapura Ind. Area, KIADB phase-3,Kotra Hobli- Tumkur-572138",TUMKUR,572138,TRUE
216951356,Bella Casa Fashion & Retail Ltd,"E102-103 EPIP Sitapura Industrial Area,",JAIPUR,302022,TRUE
T2IU,BHOPAL,"Ashima Mall, Narmadapuram Rd, Danish Nagar, Bawaria Kalan, Bhopal, Madhya Pradesh ",BHOPAL,462026,TRUE
