Address Code,Address Title,Address Line 1,Address Line 2,City/Town,Postal Code,Country,GST Category,Origin Address,State
20 CUBE,20 CUBE WAREHOUSING & DISTR PVT LTD,"20 CUBE WAREHOUSING & DISTRIBUTION PVT. LTD., KH. NO. 39/40/41-229/194-42, DEEPPURA SIKAR ROAD, HAMADA, JAIPUR-302013",302013,JAIPUR,,India,Unregistered,TRUE,Gujarat
ADPL,ADHYA DESIGN PVT LTD,PLOT NO 124 SECTOR 68 IMT FARIDABAD HARYANA,121004,FARIDABAD,,India,Unregistered,TRUE,Gujarat
AE55,RRL CC RAU,INDORE,452001,INDORE,,India,Unregistered,TRUE,Gujarat
AF_ALOXE_K,"WAREHOUSE-A, NEW SURVEY NO. 1076, NR. OM SAI WAY B","KUBADTHAL, GJ 382430","Kubadthal, GJ 382430",KUCHAMAN CITY,,India,Unregistered,TRUE,Gujarat
AF_BSB_S_,"560084751 MYNTRA FC, WHITEFIELD, BANGALORE","751, MYNTRA FC, WHITEFIELD, BANGALORE, KA PIN-560084",560084,BANGALORE,,India,Unregistered,TRUE,Gujarat
AF_FAMIL_I,"MBC NEW WAREHOUSE F-BLOCK, SURVEY NO.315/2/2 BHATK",MP 453441,453441,INDORE,,India,Unregistered,TRUE,Gujarat
AF_KRISH_,INDORE,"KRISHNENDU ENTERPRISES ADD: C-2, SHUKLA WAREHOUSE INDORE, MP 453555",453555,INDORE,,India,Unregistered,TRUE,Gujarat
AF_MERHA_1,"BUILDING NO. B600, LUHARI III, INDOSPACE LOGISTIC","DELHI, HR 124108",124108,DELHI,,India,Unregistered,TRUE,Gujarat
AF_MERHA_4,"H1 WAREHOUSE SAI DHARA LOGISTICS PARK, MUMBAI NASI","MUMBAI, MH 421302",421302,MUMBAI,,India,Unregistered,TRUE,Gujarat
AF_NIVEA_4,AFNIVEA421101465,"BORIVALI TARF SONALE, BORIVALI VILLAGE, GLOBAL REALTY INFRA BHIWANDI, MH 421101",421101,MUMBAI,,India,Unregistered,TRUE,Gujarat
AF_PAN_I_1,AFPANI122050961,"PLOT NO. 308 A, SECTOR 6, IMT MANESAR, MANESAR, GURUGRAM, HA GURUGRAM, HR 122050",122050,GURUGRAM,,India,Unregistered,TRUE,Gujarat
AF_POWER,AFPOWER421302377,"POWERMAX FITNESS (I) PVT. LTD. 143/156, INDIAN CORPORATION C BHIWANDI, MH 421302",421302,BHIWANDI,,India,Unregistered,TRUE,Gujarat
AF_WONDE,201003,"KHASRA NO. 824 VARDHMAN PURAM, MORTA GHAZIABAD (U.P.) - 2010 GHAZIABAD, UP 201003",201003,GHAZIABAD,,India,Unregistered,TRUE,Gujarat
AGRA,KAPOOR OVERSEAS,"1/132/1, FIRST FLOOR, SYED ALI NAVI, SHAHGANJ ROAD, AGRA",282010,AGRA,,India,Unregistered,TRUE,Gujarat
AGRA (WF),WORLD FOOTWEAR,18/194 PURANI MANDI TAJGANJ AGRA,282001,AGRA,,India,Unregistered,TRUE,Gujarat
AGRA SINE,AGRA SINE FOOTWEAR,"39, 40A, SHIVAM VATIKA MAUJA MIYAPUR, FATEHABAD ROAD, AGRA",282006,AGRA,,India,Unregistered,TRUE,Gujarat
AURANGABAD,AURANGABAD,"CENTRAL WAREHOUSING CORPORATION, PLOT NO 91, BACKSIDE OF UNITED SPIRITS, CHIKALTHANA MIDC AURANGABAD",431006,AURANGABAD,,India,Unregistered,TRUE,Gujarat
BAGHPAT,AMBE AGROFOODS PVT LTD,"10206493, SAHARANPUR ROAD, OPP. NBCC TOWNSHIP, KHEKRA, BAGHPAT",250101,BAGHPAT,,India,Unregistered,TRUE,Gujarat
BAGRU,SOLITAIRE INDUSTRIAL PARK,"PLOT NO 23, SOLITAIRE INDUSTRIAL PARK DEHMI KALAN, BAGRU, JAIPUR, RAJASTHAN",303007,BAGRU,,India,Unregistered,TRUE,Gujarat
BAHADURGAR,ABHAY FOOTWEAR PVT LTD,"KH NO. 76, OPP PLOT NO. 1535, MIE PART-B, BAHADURGARH, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
BALAGHAT,SMART HUB BALAGHAT,"RRL, CENTRAL WAREHOUSE, GODOWN NO 3 BALAGHAT WARASEONI ROAD, GARRA, BALAGHAT, MADHYAPRADESH",481001,BALAGHAT,,India,Unregistered,TRUE,Gujarat
BARMER,SMART HUB BARMER,"CENTRAL WAREHOUSE CORPORATION, KHASRA NO 463, BARMER, MITHRA ROAD",344001,BARMER,,India,Unregistered,TRUE,Gujarat
BASSI,BASSI PATHANA,"VILLAGE KOTLA FAZAL TEHSIL BASSI PATHANA, PUNJAB, SIRHIND FATEGARH SAHIB, PUNJAB",140406,BASSI PATHANA,,India,Unregistered,TRUE,Gujarat
BB-TUMKUR,BB-TUMKUR,"(10252083)FUTURE CONSUMER LIMITED INDIA FOOD PARK LIMITED, PLOT NO-10-11, VASANTHANARSHAPURA IND. AREA, KIADB PHASE-3, KOTRA HOBLI- TUMKUR-572138",572138,TUMKUR,,India,Unregistered,TRUE,Gujarat
BCTX,RENAISSANCE INDUSTRIAL,"SMART CITY VASHERE VILLAGE BHIWANDI, MAHARASHTRA",421302,BHIWANDI,,India,Unregistered,TRUE,Gujarat
